ID;Tweet;Keluhan;Respon;Bukan Keluhan/Respon;Kategori;Topik Umum; Topik Spesifik;Lokasi;Waktu 
6,78865E+17;Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :((;k;;;k;Perhubungan;motor tanpa spakbor;-;-
6,78866E+17;@dbmpkotabdg @ridwankamil hatur nuhun dbmp lampu jl.merdeka atos sae;;;l;l;Infrastruktur;lampu penerangan jalan umum;Jalan Merdeka;-
6,78867E+17;Kalo @PemkotBandung @ridwankamil mau batasi kendaraan, yg feasible dan bisa dilakukan segera dlm wewenang mrk: berantas parkir badan jalan.;;;l;l;Perhubungan;parkir sembarangan;-;-
6,7887E+17;RT @iqbalfg: Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :…;k;;;k;Perhubungan;motor tanpa spakbor;-;-
6,78871E+17;Pak, tadi saya habis dari Kebun Binatang, itu kebersihannya masih kurang dan orangutannya juga jomblo pak, mohon solusi pak.. @ridwankamil;k;;;k;"Kebudayaan; Pariwisata & Olahraga";tempat hiburan;Kebun Binatang;-
6,78873E+17;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;pinggir jalan sepanjang Jalan Sersan Bajuri No. 24;-
6,78877E+17;Bonbin bandung agak kurang terawat, kasian sama hewan hewannya. Pak @ridwankamil coba bonbin bandung di bikin kayak singapore zoo;k;;;k;"Kebudayaan; Pariwisata & Olahraga";tempat hiburan;Kebun Binatang;-
6,78882E+17;Pak @ridwankamil,sy pnya saran angkot 08 dan Antapani yg Coklat dilebur sj. tp arah trayeknya dibagi 2 kyk Cimbeuleuit dl.;;;l;l;Perhubungan;trayek angkutan umum;-;-
6,78884E+17;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;pinggir jalan sepanjang Jalan Sersan Bajuri No. 24;-
6,78884E+17;@ridwankamil pak sya lg mau pulang naek diangkot cheum- ledeng, ad ibu2 sma bpak2 ngmongin bpak tp tenang koq pak ngmongin nya yg baik2^^;;;l;l;Bidang Lainnya;-;-;-
6,78887E+17;@dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. Hrsnya ada jambtn lyang ditiap perempatan. @ridwankamil;k;;;k;Perhubungan;kemacetan;-;-
6,78888E+17;@infobdg kalau macet begini, di lihat di depannya, karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya @ridwankamil;k;;;k;Perhubungan;kemacetan;-;-
6,78889E+17;#SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb @Satpolppbdg;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";gangguan ketertiban umum;Jalan Eijkman ;-
6,78891E+17;@BimaAryaS @DiskominfoBdg @dishub_jabar @dishub_kotabdg mendukung rencana badan hukum angkot. jgn sampai kasus metromini tjd nanti di bgr;;;l;l;Perhubungan;bis kota/damri/taksi/ angkot;-;-
6,78892E+17;RT @se_bdg: #SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";gangguan ketertiban umum;Jalan Eijkman ;-
6,78893E+17;@EL_Atheos @hendronurkholis @ridwankamil he he, perempuan itu sebelumnya dh ditanya sama rk, dah nikah pa masih single;;;l;l;Bidang Lainnya;-;-;-
6,78895E+17;Punten, saya baru denger beritanya .. apa sudah ditertibkan modus mengambil kunci motor ? @Satpolppbdg @PRFMnews https://t.co/S1d5jf1LaO;;;l;l;"K3 (Ketertiban; Kebersihan; Keindahan)";gangguan ketertiban umum;-;-
6,78895E+17;Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6SH;;;l;l;Infrastruktur;trotoar;Jalan Cemara;-
6,78895E+17;RT @soowooBDG: Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6…;;;l;l;Infrastruktur;trotoar;Jalan Cemara;-
6,78899E+17;"@ridwankamil @Satpolppbdg Mohon diamankan Pa Ogah per4an Pasar Suci Cihaurgeulis,  membuat jalan Suci macet total &amp; kacau.  Nuhun PERHATIANA";k;;;k;Perhubungan;kemacetan;Perempatan Pasar Suci Cihaurgeulis;-
6,78899E+17;@ridwankamil @dbmpkotabdg Mohon dipasang tiang utk LAMPU MERAH DI PER4AN PASAR SUCI,  CIHAURGEULIS.  SERING TERJADI MACET TOTAL @IWGinting;k;;;k;Perhubungan;rambu lalu lintas;Perempatan Pasar Suci Cihaurgeulis;-
6,78899E+17;Setuju ini, sepanjang jl riau banyak yg parkir. Malah ada yg di trotoar juga :(( @ridwankamil  https://t.co/aNqS5ONcZi;k;;;k;Perhubungan;parkir sembarangan;Sepanjang Jalan Riau ;-
6,789E+17;@pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki @Kec_Kircon @Kel_BabakanSari @ridwankamil;k;;;k;Infrastruktur;lampu penerangan jalan umum;Jalan Kiaracondong;-
6,78903E+17;Pak wali upami angkot di bandung kumaha nasibna? Di jakarta metromini tos jadi korban @ridwankamil;;;l;l;Perhubungan;bis kota/damri/taksi/ angkot;-;-
6,78905E+17;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;pinggir jalan sepanjang Jalan Sersan Bajuri No. 24;-
6,78908E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://…;;r;;r;Infrastruktur;drainase / gorong - gorong;Jalan Veteran - Jalan Sunda;-
6,7891E+17;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;pinggir jalan sepanjang Jalan Sersan Bajuri No. 24;-
6,7891E+17;RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;-;-
6,78916E+17;#WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.co/hQC2JeKtnm;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78916E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78916E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78917E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78917E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78917E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78918E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78919E+17;@ridwankamil anak kecil ajah jalan2 pke helm masa yang naik motor engga ?!!! :) eta maksad na mah panginteun pakk;;;l;l;Perhubungan;motor tanpa helm;-;-
6,7892E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78921E+17;@ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";gangguan ketertiban umum;BIP dan trotoar BEC;-
6,78921E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan pengerukan saluran jl Sukawarna Br https:…;;r;;r;Infrastruktur;drainase / gorong - gorong;Jalan Sukawarna;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan perbaikan jl dr eyckman https://t.co/xrdK…;;r;;r;Infrastruktur;jalan rusak;Jalan Eijkman ;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg…;;r;;r;Infrastruktur;pemasangan ubin;Jalan Cicendo;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Tegallega, pemasangan plat beton saluran jl Moch Toha https://…;;r;;r;Infrastruktur;drainase / gorong - gorong;Jalan Moch. Toha;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Ujungberung,  pengerukan saluran jl Golf Selatan I https://t.c…;;r;;r;Infrastruktur;drainase / gorong - gorong;Jalan Golf Selatan I;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Gedebage,  pengerukan saluran jl Sukarno Hatta https://t.co/bN…;;r;;r;Infrastruktur;drainase / gorong - gorong;Jalan Soekarno Hatta;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://…;;r;;r;Infrastruktur;drainase / gorong - gorong;Jalan Veteran - Jalan Sunda;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying, lanjutan prbaikan kirmir sal jl Gudang Utara https…;;r;;r;Infrastruktur;jalan rusak;Jalan Gudang Utara;-
6,78923E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara,  pengangkutan sendimen jl Sukawarna Baru https://t…;;r;;r;Infrastruktur;pengangkutan sedimen;Jalan Sukawarna Baru;-
6,78924E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg…;;r;;r;Infrastruktur;pemasangan ubin;Jalan Cicendo;-
6,78927E+17;RT @PRFMnews: cc @distarcipBDG  RT  @saudarasanusi Penyangga gedung ini mengkhawatirkan deh pak @ridwankamil,takut roboh https://t.co/ILPnY…;k;;;k;Infrastruktur;penyangga gedung;-;-
6,78931E+17;@dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati, hawatir rawan. Hatur nuhun https://t.co/5CkCjc9CUW;k;;;k;Infrastruktur;lampu penerangan jalan umum;sepanjang Jalan Bima Kel. Arjuna Kec. Cicendo;-
6,78931E+17;RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…;;;l;l;Perhubungan;parkir sembarangan;-;-
6,78938E+17;Kirmir kali cicadas rw13 kel bbksurabaya longsor, mhn bantuan @dbmpkotabdg cc @ridwankamil @OdedMD @yossiirianto https://t.co/Q1ilQH9uLP;k;;;k;Infrastruktur;kali / sungai;Cicadas RW. 13 Kel. Bbk Surabaya;-
6,78943E+17;@dbmpkotabdg  Hatur nuhun URC Gedebage atas pengerukan Saluran Merkuri Kel. Manjahlega https://t.co/FBwSrKhJwu;;r;;r;Infrastruktur;drainase / gorong - gorong;Kel. Manjahlega;-
6,78945E+17;Tiap hari lewat bolak balik pa @ridwankamil uang habis buat bayar jalan aja ini mah 😞😞😞😞 ga ada cara lain ? https://t.co/fydVITBqVv;k;;;k;Perhubungan;biaya jalan;-;-
6,78946E+17;"ayo pesan sendal bulunya..all size IDR 30K, hangat &amp; nyaman di kaki @ridwankamil @infobdg @PRFMnews @MemeComicIndo https://t.co/iaX1cMqxdG";;;l;l;Bidang Lainnya;-;-;-
6,78949E+17;Tikungan dari  jl wastu kencana belok ke arah gd pakuan. @infobandung @dbmpkotabdg @galamedianews @PRFMnews https://t.co/48Bm45CoTQ;;;l;l;Bidang Lainnya;-;-;-
6,7895E+17;Bpk @ridwankamil dompet sy dcopet d angkot cheum-ldng pk 😭. spt.a copet.a bkrjasama sm spr agkt.a pak. Skg sy jd wanita tnp identitas pak😭;k;;;k;Kriminalitas;pencurian / perampokan;Angkot Caheum-Ledeng;-
6,7895E+17;@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk1d;;;l;l;Infrastruktur;lampu penerangan jalan umum;Jalan Ir. H. Djuanda;-
6,7895E+17;@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW;;r;;r;Infrastruktur;lampu penerangan jalan umum ;Jalan Rumah Sakit;-
6,78952E+17;jln jend sudirman dkt suryani ad cafe, mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir @dbmpkotabdg @dishub_kotabdg @ridwankamil;k;;;k;Perhubungan;parkir sembarangan;Jalan Jend. Sudirman dekat Suryani;-
6,78955E+17;CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan https://t.co/awjVJYCAGZ;;;l;l;Bidang Lainnya;-;tikungan dari Jalan Wastukencana;-
6,78956E+17;RT @Rescue_Damkar: CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan htt…;;;l;l;Bidang Lainnya;-;tikungan dari Jalan Wastukencana;-
6,78958E+17;@pdamtirtawening : Dari nmr pelanggan 00A06600370, Margahayu Raya J-II-37, mohon info sudah beberapa hari air tidak keluar.;k;;;k;Pengelolaan Air & Sumber Daya Alam;air tidak mengalir;Margahayu Raya J-II-37;beberapa hari 
6,7896E+17;Lapor pak @ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/UTfZOk3ThE;k;;;k;Kriminalitas;geng motor;Jalan Lodaya (lapangan softball);20 Desember
6,78965E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:…;;r;;r;Infrastruktur;gundukan pasir;Jalan dr. Otten;-
6,78965E+17;RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…;k;;;k;Infrastruktur;jalan rusak;jalan menuju TPA;-
6,78966E+17;RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…;k;;;k;Infrastruktur;jalan rusak;jalan menuju TPA;-
6,78966E+17;RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht…;;;l;l;Pengelolaan Sampah;sampah menumpuk;jalan ke arah TPA;-
6,7897E+17;Kang @ridwankamil , hatur nuhun ya jalur lalin Cipaganti dicat. Skr jd enak klo dinas malem (jalannya lbh jelas krn mencrang jalur lalinnya);;;l;l;Infrastruktur;lampu penerangan jalan umum;lalin Cipaganti ;-
6,7897E+17;RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht…;;;l;l;Pengelolaan Sampah;sampah menumpuk;jalan ke arah TPA;-
6,7897E+17;RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…;;;l;l;Infrastruktur;jalan rusak;jalan menuju TPA;-
6,78972E+17;"RT @MojangPolppBDG: (15/12) Giat penjangkauan PMKS Jl. Peta, perempatan Kopo. Oleh Tranmas Rukendi &amp; URC. Pukul 10.30. @Satpolppbdg https:/…";;r;;r;"K3 (Ketertiban; Kebersihan; Keindahan)";anak jalanan dan gelandangan pengemis;Jalan Peta perempatan Kopo;10.30
6,7898E+17;RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;pinggir jalan sepanjang Jalan Sersan Bajuri No. 24;-
6,79071E+17;@PRFMnews @infobandung  @pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu;k;;;k;Pengelolaan Air & Sumber Daya Alam;air tidak mengalir;daerah Tubagus Ismail Depan RT. 05 RW. 08;dua minggu 
6,79073E+17;RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…;k;;;k;"K3 (Ketertiban; Kebersihan; Keindahan)";buang sampah sembarangan;-;-
6,79076E+17;Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @OdedMD @marcommpr;k;;;k;Pengelolaan Air & Sumber Daya Alam;air tidak mengalir;RW. 11 Kel. Cicaheum ;-
6,79077E+17;@pdkebersihanbdg di Pasar Suci, baru masuk udah disambut bak sampah gede. Masa hal kaya gini ga kepikiran ngeganggu atau ngga?? @ridwankamil;k;;;k;Pengelolaan Sampah;sampah menumpuk;Pasar Suci ;-
6,79077E+17;RT @ahmad_chm: Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @Ode…;k;;;k;Pengelolaan Air & Sumber Daya Alam;air tidak mengalir;RW. 11 Kel. Cicaheum ;-
6,79087E+17;@ridwankamil pak program pembangunan untuk Bandung Timur ditahun 2016 ada apa saja ?  :);;;l;l;Bukan Keluhan;-;-;-
6,79097E+17;tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes;;;l;l;Bukan Keluhan;-;-;-
6,79103E+17;@pdamtirtawening nuhun tos ngocor meski cuma malam yg punya air;;;l;l;Bukan Keluhan;-;-;-
6,79104E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast tegallega https://t.co/LAbD1pe…;;r;;r;Infrastruktur;lampu penerangan jalan umum;Tegallega;-
6,79104E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Geusan Ulun https://t.co/lO3ww6TNd8;;r;;r;Infrastruktur;lampu penerangan jalan umum;Jalan Geusan Ulun ;-
6,79104E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk…;;r;;r;Infrastruktur;lampu penerangan jalan umum;Jalan Ir. H. Djuanda;-
6,79104E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Jamika https://t.co/jMPcrpU8l6;;r;;r;Infrastruktur;lampu penerangan jalan umum ;Jalan Jamika;-
6,79104E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Sukarno Hatta https://t.co/VdDtdCY…;;r;;r;Infrastruktur;lampu penerangan jalan umum ;Jalan Sukarno Hatta;-
6,79104E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW;;r;;r;Infrastruktur;lampu penerangan jalan umum ;Jalan Rumah Sakit;-
6,79105E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast jl Jend Sudirman https://t.co/…;;r;;r;Infrastruktur;lampu penerangan jalan umum ;Jalan Jend. Sudirman ;-
6,79105E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl LLRE Martadinata (jl Riau) https:/…;;r;;r;Infrastruktur;lampu penerangan jalan umum ;Jalan LL. RE. Martadinata;-
6,79105E+17;RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:…;;r;;r;Infrastruktur;gundukan pasir;Jalan dr. Otten;-
6,79108E+17;Pohon terbelah vertikal dpn rmh jl. Pratista raya 30,Antapani. Mohon bantuan @diskamtam utk mengamankan. https://t.co/mbdzSG09Uk;k;;;k;Lingkungan Hidup;pohon tumbang;Jalan Pratista Raya No. 30 Antapani ;-
6,79108E+17;@dbmpkotabdg @DiskominfoBdg @ridwankamil @OdedMD @yossiirianto Jl. BKR juga donk sklian hmpir padam smua stiap mlm sgt membahayakan!!;k;;;k;Infrastruktur;lampu penerangan jalan umum;Jalan BKR;-
6,79108E+17;@ridwankamil lapor, asal listrik 3394, beli yg 100rb. Nambah nya jd 9695, jd hrg listrik brp? 100rb kok dpet 6304 pulsanya....kmh Pak?;k;;;k;Infrastruktur;biaya listrik;-;-
6,79112E+17;@dbmpkotabdg selamat pagi, maaf mau tanya NPWP BBMP kota bandung berapa ya? untuk membuat EFaktur untuk pekerjaan di DBMP kota bandung trims;;;l;l;Bukan Keluhan;-;-;-
6,79112E+17;@ridwankamil @nofidiekaputera @onisumardjono1Gober Kb Jrk siap tmpur mnghlau sgl bntk smpah ,Mlya skl pek. Nda. Trim https://t.co/N1CwapwjJd;;;l;l;Bukan Keluhan;-;-;-
6,79113E+17;RT @nurah_nurjannah: Pak @ridwankamil saya mau tanya naha bikin ktp jang adi sya jeung surat kematian teth sya kdu pake pajak bumi sagala??…;;;l;l;Bukan Keluhan;-;-;-
6,79116E+17;@dbmpkotabdg  pak @ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan TB Saluyu  mati;k;;;k;Infrastruktur;lampu penerangan jalan umum;Jalan Pamokolan depan TB Saluyu ;satu bulan 
6,7912E+17;RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…;;r;;r;Pengelolaan Sampah;sampah menumpuk;Jalan Taman sari ;-
6,79121E+17;RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…;;r;;r;Pengelolaan Sampah;sampah menumpuk;Jalan Taman sari ;-
